Учебно-изпитна програма за държавния зрелостен изпит по физика и астрономия

I.	Вид на изпита
Изпитът е писмен и анонимен.

II.	Учебно съдържание
•	Електростатично взаимодействие
•	Еднородно електростатично поле
•	Проводници и диелектрици
•	Постоянен електричен ток
•	Електрични вериги
•	Приложения на електричния ток в различни среди
•	Магнитно взаимодействие и магнитни материали
•	Електромагнитна индукция и променлив ток
•	Хармонично трептене
•	Механични вълни
•	Електромагнитни вълни
•	Разпространение, отражение и пречупване на светлината
•	Вълнови явления при светлината
•	Видове лъчения и техните източници
•	Инфрачервени и ултравиолетови лъчи
•	Светлинни кванти и вълнови свойства на частиците
•	Атоми и атомни преходи
•	Атомно ядро и ядрени реакции
•	Елементарни частици
•	Еволюция на звездите
•	Поглед към Вселената.

III. Оценявани компетентности
•	Описва електричните и магнитните взаимодействия чрез електростатично поле и постоянно магнитно поле
•	Свързва електричните и магнитните свойства на веществата с тяхното приложение
•	Назовава експерименталните условия за индуциране на ток, определя посоката му и дава примери за приложението на явлението електромагнитна индукция
•	Прилага основни закономерности при постоянния ток и за ефективните стойности на променливия ток при решаване на задачи
•	Използва основни величини и съотношения при хармоничното трептене и при вълновите процеси
•	Описва явленията резонанс, отражение и интерференция на механични вълни
•	Разграничава звука от електромагнитните вълни по основни характеристики и свойства
•	Разграничава видовете източници на светлина и илюстрира с примери как специфични свойства на дадено лъчение се използват в практиката
•	Описва характерни свойства на инфрачервените, ултравиолетовите и рентгеновите лъчи във връзка с тяхното приложение
•	Прилага законите за отражение и пречупване на светлината
•	Обяснява качествено явленията дисперсия, интерференция и дифракция на светлината и техни приложения
•	Свързва фотоелектричния ефект с квантовата природа на светлината (фотони), а дифракцията на електрони-с вълновата природа на микрочастиците
•	Обяснява излъчването и поглъщането на фотони и лазерното излъчване с помощта на квантов модел на атома
•	Описва състава и основни характеристики на атомните ядра, промените в радиоактивните ядра, приложенията и биологичното действие на ядрените лъчения
•	Сравнява процесите на делене на урана и термоядрения синтез от гледна точка на тяхното приложение в ядрената енергетика и опазването на околната среда
•	Разграничава лептоните и кварките и дава примери за частици, изградени от кварки
•	Познава съвременни аспекти на връзката между физиката на микросвета, астрофизиката и космологията
•	Прилага измерителните единици на основните физични величини и техните кратни
•	Разчита графики по данни от експериментални резултати .

IV.	Формат на изпита
Държавният зрелостен изпит се състои в решаването на 50 тестови задачи:
•	тестови задачи от затворен тип с четири възможни отговора, от които само един е верен
•	тестови задачи със свободен отговор. Общият максимален брой точки е 100.

V.	Времетраене на изпита
Изпитът е с продължителност четири астрономически часа."

